"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1003","Login: Invalid combination - User:user_4/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60054","Purchase: Multi-item Combination - [3,4,5] @regression","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","5901","Login: Success for problem_user (problem) @sanity","chromium","2026-04-13","failed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60052","Purchase: Multi-item Combination - [0,1] @regression","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","5837","Login: Success for visual_user (visual) @sanity","chromium","2026-04-13","failed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1093","Login: Invalid combination - User:user_1/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60056","Purchase: Checkout Permutation - Product 0 with Var 4","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","859","Login: Invalid combination - User:user_7/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","922","Login: Invalid combination - User:user_5/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60055","Purchase: Checkout Permutation - Product 1 with Var 0","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1039","Login: Invalid combination - User:user_9/Pass:pass_5","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","965","Login: Invalid combination - User:user_8/Pass:pass_0","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60070","Inventory: Sort by Name (Z to A) @smoke","chromium","2026-04-13","broken","2026-04-13","Business Logic: Inventory Management @regression","inventory.spec.js","",""
"","60059","Purchase: Checkout Permutation - Product 1 with Var 3","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","953","Login: Invalid combination - User:user_9/Pass:pass_2","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60052","Purchase: Complete Flow for Sauce Labs Onesie @smoke","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60063","Validation: Missing fields [Case 0] - First Name is required","chromium","2026-04-13","broken","2026-04-13","Business Logic: Error Handling & Validations @regression","negative_tests.spec.js","",""
"","60055","Cart: Checkout with empty cart (Edge Case)","chromium","2026-04-13","broken","2026-04-13","Business Logic: Error Handling & Validations @regression","negative_tests.spec.js","",""
"","5992","Login: Success for performance_glitch_user (glitch) @sanity","chromium","2026-04-13","failed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","962","Login: Invalid combination - User:user_9/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","984","Login: Invalid combination - User:user_2/Pass:pass_2","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60051","Purchase: Multi-item Combination - [0,2] @regression","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1031","Login: Invalid combination - User:user_9/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1010","Login: Invalid combination - User:user_6/Pass:pass_5","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1001","Login: Invalid combination - User:user_7/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","934","Login: Invalid combination - User:user_6/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","5946","Login: Success for standard_user (valid) @sanity","chromium","2026-04-13","failed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60055","Purchase: Checkout Permutation - Product 2 with Var 0","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","991","Login: Invalid combination - User:user_3/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1086","Login: Invalid combination - User:user_5/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60055","Purchase: Checkout Permutation - Product 5 with Var 4","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","845","Login: Invalid combination - User:user_9/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","5720","Login: Success for error_user (error) @sanity","chromium","2026-04-13","failed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1049","Login: Invalid combination - User:user_2/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60050","Purchase: Checkout Permutation - Product 5 with Var 1","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1068","Login: Invalid combination - User:user_7/Pass:pass_5","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60056","Purchase: Checkout Permutation - Product 4 with Var 4","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60053","Validation: Missing fields [Case 3] - First Name is required","chromium","2026-04-13","broken","2026-04-13","Business Logic: Error Handling & Validations @regression","negative_tests.spec.js","",""
"","1036","Login: Invalid combination - User:user_3/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1036","Login: Invalid combination - User:user_2/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1079","Login: Invalid combination - User:user_2/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","988","Login: Invalid combination - User:user_5/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1134","Login: Error for locked out user @smoke","chromium","2026-04-13","failed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","997","Login: Invalid combination - User:user_7/Pass:pass_2","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1163","Login: Invalid combination - User:user_3/Pass:pass_0","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60055","Purchase: Checkout Permutation - Product 5 with Var 0","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","982","Login: Invalid combination - User:user_6/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60056","Purchase: Checkout Permutation - Product 3 with Var 2","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60054","Validation: Missing fields [Case 1] - Last Name is required","chromium","2026-04-13","broken","2026-04-13","Business Logic: Error Handling & Validations @regression","negative_tests.spec.js","",""
"","848","Login: Invalid combination - User:user_8/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1144","Login: Invalid combination - User:user_3/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60053","Purchase: Checkout Permutation - Product 3 with Var 3","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","456","Login: Invalid combination - User:user_0/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","892","Login: Invalid combination - User:user_1/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60051","Purchase: Checkout Permutation - Product 4 with Var 0","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60054","Purchase: Checkout Permutation - Product 1 with Var 4","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","965","Login: Invalid combination - User:user_9/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60054","Purchase: Checkout Permutation - Product 4 with Var 2","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60054","Inventory: Sort by Name (A to Z) @smoke","chromium","2026-04-13","broken","2026-04-13","Business Logic: Inventory Management @regression","inventory.spec.js","",""
"","60053","Purchase: Checkout Permutation - Product 0 with Var 3","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","974","Login: Invalid combination - User:user_4/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1068","Login: Invalid combination - User:user_2/Pass:pass_5","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60057","Purchase: Checkout Permutation - Product 0 with Var 2","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60053","Purchase: Complete Flow for Sauce Labs Bike Light @smoke","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1054","Login: Invalid combination - User:user_4/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60055","Purchase: Complete Flow for Sauce Labs Backpack @smoke","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","950","Login: Invalid combination - User:user_0/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1334","Inventory: Display Product - Sauce Labs Backpack @sanity","chromium","2026-04-13","failed","2026-04-13","Business Logic: Inventory Management @regression","inventory.spec.js","",""
"","909","Login: Invalid combination - User:user_1/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1252","Login: Invalid combination - User:user_0/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","858","Login: Invalid combination - User:user_5/Pass:pass_0","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60056","Purchase: Checkout Permutation - Product 2 with Var 3","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","998","Login: Invalid combination - User:user_2/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","954","Login: Invalid combination - User:user_8/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","988","Login: Invalid combination - User:user_6/Pass:pass_7","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1150","Login: Invalid combination - User:user_0/Pass:pass_5","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60054","Purchase: Checkout Permutation - Product 5 with Var 2","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","939","Login: Invalid combination - User:user_3/Pass:pass_2","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1211","Login: Invalid combination - User:user_0/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60056","Cart: Add and remove 3 items @sanity","chromium","2026-04-13","broken","2026-04-13","Business Logic: Error Handling & Validations @regression","negative_tests.spec.js","",""
"","997","Login: Invalid combination - User:user_4/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60073","Validation: Missing fields [Case 2] - Postal Code is required","chromium","2026-04-13","broken","2026-04-13","Business Logic: Error Handling & Validations @regression","negative_tests.spec.js","",""
"","60055","Purchase: Checkout Permutation - Product 5 with Var 3","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1059","Login: Invalid combination - User:user_7/Pass:pass_0","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60076","Inventory: Sort by Price (high to low) @smoke","chromium","2026-04-13","broken","2026-04-13","Business Logic: Inventory Management @regression","inventory.spec.js","",""
"","1152","Login: Invalid combination - User:user_1/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","433","Login: Invalid combination - User:user_0/Pass:pass_0","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1057","Login: Invalid combination - User:user_7/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60053","Purchase: Multi-item Combination - [1,2] @regression","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60056","Purchase: Checkout Permutation - Product 3 with Var 4","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","887","Login: Invalid combination - User:user_6/Pass:pass_0","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60053","Purchase: Checkout Permutation - Product 2 with Var 2","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60089","Purchase: Checkout Permutation - Product 2 with Var 1","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","936","Login: Invalid combination - User:user_7/Pass:pass_1","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60053","Purchase: Checkout Permutation - Product 4 with Var 3","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","60051","Purchase: Checkout Permutation - Product 3 with Var 0","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1328","Inventory: Display Product - Sauce Labs Fleece Jacket @sanity","chromium","2026-04-13","failed","2026-04-13","Business Logic: Inventory Management @regression","inventory.spec.js","",""
"","60055","Purchase: Checkout Permutation - Product 3 with Var 1","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1087","Login: Invalid combination - User:user_6/Pass:pass_2","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60052","Purchase: Checkout Permutation - Product 2 with Var 4","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","1047","Login: Invalid combination - User:user_6/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60052","Cart: Add and remove 1 items @sanity","chromium","2026-04-13","broken","2026-04-13","Business Logic: Error Handling & Validations @regression","negative_tests.spec.js","",""
"","60052","Purchase: Complete Flow for Test.allTheThings() T-Shirt (Red) @smoke","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","901","Login: Invalid combination - User:user_8/Pass:pass_2","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","955","Login: Invalid combination - User:user_7/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","714","Login: Invalid combination - User:user_0/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1030","Login: Invalid combination - User:user_5/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1130","Login: Invalid combination - User:user_4/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","967","Login: Invalid combination - User:user_8/Pass:pass_4","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","60058","Purchase: Checkout Permutation - Product 1 with Var 2","chromium","2026-04-13","broken","2026-04-13","Business Logic: Purchase Flow @e2e","purchase_flow.spec.js","",""
"","955","Login: Invalid combination - User:user_6/Pass:pass_3","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1106","Login: Invalid combination - User:user_4/Pass:pass_0","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1033","Login: Invalid combination - User:user_3/Pass:pass_5","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
"","1232","Login: Invalid combination - User:user_2/Pass:pass_6","chromium","2026-04-13","passed","2026-04-13","Business Logic: Authentication @regression","auth.spec.js","",""
